ticker,comparison_cohort,operator_bucket,operator_rationale,themes,categories,price,avg_volume,dollar_volume,dv_pct_of_threshold,dv_gap,volume_profile,perf_1d,perf_1w,perf_1m,perf_3m,prior_bucket,prior_rationale,current_ranking_eligibility_reason
HOPE,secondary threshold-policy set,acceptable but still should remain below the line,"reasonable governed name but still materially below current threshold; recent tape is decent, but proximity is not strong enough yet; dollar volume 11,902,815 (79.4% of threshold); gap to threshold 3,097,185; price 12.37; avg volume 962,232",Banks - Community,Financials - Banks,12.37,962232.4461841905,11902815.359298436,79.35210239532292,3097184.640701564,mid_profile,-2.21,1.39,14.11,7.85,likely threshold-policy review candidate,"meaningful liquidity but still below current $15M floor; dollar volume 11,902,815; price 12.37","dollar volume invalid: 11,902,815 < 15,000,000"
IMKTA,secondary threshold-policy set,acceptable but still should remain below the line,"reasonable governed name but still materially below current threshold; recent tape is decent, but proximity is not strong enough yet; dollar volume 11,718,090 (78.1% of threshold); gap to threshold 3,281,910; price 87.97; avg volume 133,206",Retail - Grocery,Consumer - Retail,87.97,133205.51958490474,11718089.557884073,78.12059705256048,3281910.442115927,high_price_low_turnover,-0.16,-2.89,5.28,24.9,likely threshold-policy review candidate,"meaningful liquidity but still below current $15M floor; dollar volume 11,718,090; price 87.97","dollar volume invalid: 11,718,090 < 15,000,000"
WFG,secondary threshold-policy set,acceptable but still should remain below the line,"reasonable governed name but still materially below current threshold; recent tape is decent, but proximity is not strong enough yet; dollar volume 11,663,604 (77.8% of threshold); gap to threshold 3,336,396; price 66.34; avg volume 175,816","Paper & Forest Products, Timber & Forest","Materials & Chemicals, Commodities & Agriculture",66.34,175815.55357114287,11663603.823909618,77.75735882606412,3336396.176090382,high_price_low_turnover,1.14,-0.15,10.64,-5.03,likely threshold-policy review candidate,"meaningful liquidity but still below current $15M floor; dollar volume 11,663,604; price 66.34","dollar volume invalid: 11,663,604 < 15,000,000"
MRTN,secondary threshold-policy set,acceptable but still should remain below the line,"reasonable governed name but still materially below current threshold; recent tape is decent, but proximity is not strong enough yet; dollar volume 11,648,887 (77.7% of threshold); gap to threshold 3,351,113; price 14.81; avg volume 786,556",Trucking - TL,Industrials - Transport,14.81,786555.5061956191,11648887.04675712,77.6592469783808,3351112.9532428794,mid_profile,-0.34,4.96,21.59,20.31,likely threshold-policy review candidate,"meaningful liquidity but still below current $15M floor; dollar volume 11,648,887; price 14.81","dollar volume invalid: 11,648,887 < 15,000,000"
LADR,secondary threshold-policy set,acceptable but still should remain below the line,"reasonable governed name but still materially below current threshold; dollar volume 11,604,891 (77.4% of threshold); gap to threshold 3,395,109; price 10.25; avg volume 1,132,184",REITs - Mortgage,Financials - REITs,10.25,1132184.4519544286,11604890.632532893,77.36593755021929,3395109.3674671073,mid_profile,-0.39,-0.77,4.91,-7.41,likely threshold-policy review candidate,"meaningful liquidity but still below current $15M floor; dollar volume 11,604,891; price 10.25","dollar volume invalid: 11,604,891 < 15,000,000"
REX,secondary threshold-policy set,acceptable but still should remain below the line,"reasonable governed name but still materially below current threshold; recent tape is decent, but proximity is not strong enough yet; dollar volume 11,291,716 (75.3% of threshold); gap to threshold 3,708,284; price 44.95; avg volume 251,206","Biofuels & Ethanol, Renewable Fuels","Energy - Clean, Energy",44.95,251206.14773309525,11291716.340602633,75.27810893735088,3708283.6593973674,high_price_low_turnover,2.84,4.44,16.12,34.06,likely threshold-policy review candidate,"meaningful liquidity but still below current $15M floor; dollar volume 11,291,716; price 44.95","dollar volume invalid: 11,291,716 < 15,000,000"
APPN,prior strongest borderline set,not compelling despite numerical proximity,"recent tape is weak; dollar volume 14,317,611 (95.5% of threshold); gap to threshold 682,389; price 21.06; avg volume 679,849",Software - Low Code,Technology - Software,21.06,679848.5882053333,14317611.26760432,95.4507417840288,682388.7323956806,mid_profile,-3.13,1.74,-16.82,-25.66,strongest future threshold-policy review cases,"very close to current threshold; dollar volume 14,317,611 (95.5% of threshold); gap to threshold 682,389; price 21.06; avg volume 679,849","dollar volume invalid: 14,317,611 < 15,000,000"
DPRO,secondary threshold-policy set,not compelling despite numerical proximity,"recent tape is weak; dollar volume 11,772,569 (78.5% of threshold); gap to threshold 3,227,431; price 6.04; avg volume 1,949,101",Drones & UAV,Emerging Tech,6.04,1949100.8951199048,11772569.406524224,78.48379604349482,3227430.593475776,mid_profile,2.9,4.5,6.71,-35.88,likely threshold-policy review candidate,"meaningful liquidity but still below current $15M floor; dollar volume 11,772,569; price 6.04","dollar volume invalid: 11,772,569 < 15,000,000"
JACK,secondary threshold-policy set,not compelling despite numerical proximity,"recent tape is weak; dollar volume 11,643,706 (77.6% of threshold); gap to threshold 3,356,294; price 12.7; avg volume 916,827",Restaurants - Fast Food,Consumer - Restaurants,12.7,916827.2265257144,11643705.776876573,77.62470517917714,3356294.2231234275,mid_profile,-0.63,7.81,15.45,-38.56,likely threshold-policy review candidate,"meaningful liquidity but still below current $15M floor; dollar volume 11,643,706; price 12.7","dollar volume invalid: 11,643,706 < 15,000,000"
MCRI,secondary threshold-policy set,not compelling despite numerical proximity,"still too far below current threshold; dollar volume 11,102,328 (74.0% of threshold); gap to threshold 3,897,672; price 98.58; avg volume 112,623",Gaming & Casinos,Consumer - Leisure,98.58,112622.51957985717,11102327.980182318,74.01551986788212,3897672.019817682,high_price_low_turnover,-0.55,-0.43,2.16,10.39,likely threshold-policy review candidate,"meaningful liquidity but still below current $15M floor; dollar volume 11,102,328; price 98.58","dollar volume invalid: 11,102,328 < 15,000,000"
